epoch,train_total,train_s,train_a,train_t,train_b,val_total,val_s,val_a,val_t,val_b,val_acc_s,val_acc_a,val_acc_t,val_acc_b
0,7.668948162452103,1.770742628704849,1.9188740644881974,1.9603629958372606,2.018968470061003,6.973254537582397,1.5514355421066284,1.7555660605430603,1.8322757005691528,1.8339771270751952,0.44716335363960413,0.36626693207757166,0.32755889186114945,0.39856701629116986
1,6.841950236268304,1.4626104807972315,1.746461176951331,1.8131455928334352,1.8197329680915693,6.550555276870727,1.3689862132072448,1.6365550875663757,1.7937324285507201,1.7512815833091735,0.5127057799611656,0.3851034019100219,0.33784912321259003,0.4073655998463733
2,6.575947871453331,1.3682784330390183,1.697023965233001,1.7275393256302891,1.7831061451786985,6.303932762145996,1.3173050045967103,1.6227018356323242,1.6274197816848754,1.736506164073944,0.5151391888359572,0.3836911493093865,0.39052745930857213,0.4197431056187665
3,6.363720670070617,1.3363009169327087,1.6233634745105978,1.6362294911547481,1.7678267892518051,6.11956901550293,1.292233979701996,1.5161419987678528,1.5804781913757324,1.7307149410247802,0.5185134979071468,0.43176528911406586,0.4000658333730092,0.4194023789753872
4,6.227855896672997,1.3113301432943265,1.5651102234079668,1.5934383726831693,1.7579771448328325,6.023067855834961,1.2690519332885741,1.477158296108246,1.558432686328888,1.7184248328208924,0.5213675035371521,0.43905013702669893,0.4004730087445491,0.43261507101974866
5,6.1434738212952364,1.2877989975769524,1.5347653133161427,1.570849148985956,1.7500603724870318,6.004514074325561,1.2558773517608643,1.473029100894928,1.5730132699012755,1.7025944471359253,0.5220009443100114,0.4396396108441449,0.40660383683113627,0.4409297247145495
6,6.07455094339045,1.2702937525500904,1.5140250126520793,1.5575263067264462,1.732705855646339,5.958498764038086,1.2506663918495178,1.4653524875640869,1.557768988609314,1.6847108006477356,0.5244289026606852,0.44538101958135146,0.40463744748596575,0.45136209911684394
7,6.024147772274998,1.256386000323256,1.498525704317425,1.5459487011183555,1.7232873686905918,5.909618186950683,1.2359761953353883,1.4426834464073182,1.5482010960578918,1.6827574729919434,0.5312831881351932,0.4478104450390751,0.4044063864366346,0.45055118976993924
8,5.978114518755507,1.2451743261138004,1.480005223755022,1.536352316340799,1.7165826594651634,5.875197553634644,1.229781436920166,1.4240169048309326,1.537577176094055,1.683821976184845,0.5316073252818245,0.4571733894754718,0.403325946891205,0.44901373548782175
9,5.927725511206125,1.2335956689730212,1.458252141527078,1.5255686457872786,1.7103090663849814,5.841043281555176,1.224823570251465,1.4120710015296936,1.5253870368003846,1.6787615776062013,0.5362383316070596,0.4613901814228913,0.4174198819793733,0.4522516031823801
10,5.887791978383737,1.2251923956088167,1.442236711927512,1.5149944301070661,1.705368436786468,5.820080852508545,1.2177318930625916,1.4031786799430848,1.5199199199676514,1.679250419139862,0.5354928206428373,0.46164106914360525,0.41052654410707523,0.44950025104990987
11,5.847379660725,1.217698253802399,1.4265321433840699,1.5024604538384558,1.700688806932364,5.79980788230896,1.209233546257019,1.3982608914375305,1.5112538099288941,1.6810595870018006,0.536767976957675,0.46373520787126477,0.4247194779394145,0.4496816079091902
12,5.808294130201957,1.2090777089544393,1.413544973528405,1.4883237090672228,1.6973477315349168,5.756132555007935,1.1945842981338501,1.402695906162262,1.4882817268371582,1.6705707550048827,0.540988903380024,0.46339966666977894,0.426813202334235,0.45029586337598904
13,5.770762264827393,1.202881091665075,1.401088476378724,1.4727781372481514,1.6940145569654246,5.73215880393982,1.2004530549049377,1.3847702145576477,1.4702651023864746,1.6766705632209777,0.5408589507940096,0.46882371371382864,0.4342683356059028,0.4561748737764284
14,5.736533183165846,1.1938883586111748,1.390978293237006,1.4604440713996318,1.6912224579410964,5.700141572952271,1.1811932921409607,1.3823745012283326,1.4661045908927917,1.6704691052436829,0.545440106757935,0.46812552814815656,0.43509026507826204,0.4577318447066473
15,5.700238200167123,1.1842538369433402,1.3815768680366909,1.4460216879251584,1.688385814971987,5.683128833770752,1.1792255878448485,1.383426296710968,1.4417373180389403,1.6787396550178528,0.5488468097486847,0.4738800246669202,0.4458574952793356,0.45068630711298674
